mH,k,b,err^2
6.5,-0.2171472350907636,-4.004891639146116,4.975281771823008e-13
6.6,-0.21714723658833324,-4.012643866844245,2.7937994290343743e-13
6.7,-0.21714723559736626,-4.020100397622976,2.1722888993808122e-13
6.8,-0.21714723534813357,-4.027282453302702,5.59373569910589e-13
6.9,-0.21714723503184108,-4.034210347697935,5.151093649509958e-13
7.0,-0.21714723533193345,-4.040902639951265,4.094325834575061e-13
7.1,-0.2171472358086558,-4.047372654924665,2.9478786749149294e-13
7.2,-0.21714723719322104,-4.053635382522806,1.1097942331548726e-13
7.3,-0.21714723424938984,-4.059703594870432,7.637054394502128e-13
7.4,-0.21714723567038885,-4.0655900695719565,5.365938319906484e-13
7.5,-0.21714723676680756,-4.0713058702052205,3.132830207235795e-13
7.6,-0.2171472356765071,-4.076861696248662,2.8479566605735775e-13
7.7,-0.21714723461547883,-4.082267589948222,4.911453647689966e-13
7.8,-0.21714723536369418,-4.087533457614274,3.2400058643815957e-13
7.9,-0.21714723623614815,-4.0926680050939686,2.286494794891531e-13
8.0,-0.2171472350448134,-4.097687197618928,7.361196562779739e-13
8.1,-0.2171472358069227,-4.102602461832126,4.664358459838406e-13
8.2,-0.21714723652886211,-4.107417001759998,3.9597883620263595e-13
8.3,-0.21714723596231614,-4.112148086590907,4.1991759690044183e-13
8.4,-0.21714723673400765,-4.116846694970052,3.7903087469504687e-13
8.5,-0.2171472353147352,-4.12148224877546,2.4624784533656195e-13
8.6,-0.2171472348381981,-4.1260048524107305,3.5588961575249647e-13
8.7,-0.2171472379316603,-4.130415871078542,4.651937318108159e-13
8.8,-0.21714723662785937,-4.134718252260582,6.330007783667727e-13
8.9,-0.21714723592941784,-4.138916249429481,4.2136244857521364e-13
9.0,-0.21714723684684162,-4.143013742236356,1.4830069526355956e-13
9.1,-0.2171472374720462,-4.14701510651499,2.6071423579327495e-13
9.2,-0.21714723598638389,-4.150923960885995,2.50270117672703e-13
9.3,-0.21714723633776598,-4.154744347291579,2.656828844775577e-13
9.4,-0.21714723640493724,-4.158479598188685,3.698958403968157e-13
9.5,-0.2171472367570099,-4.162133632641887,2.092119480147207e-13
9.6,-0.2171472358341534,-4.165713401905074,7.174413099408053e-13
9.7,-0.21714723806901484,-4.16922268742386,2.5239002719751285e-13
9.8,-0.21714723553020737,-4.172660588164844,4.576222141768786e-13
9.9,-0.21714723457216892,-4.176029083741341,7.955157780861708e-13
10.0,-0.21714723633983124,-4.179331287153317,3.2040729767342846e-13
