Unnamed: 0,number_of_production,m,id,total_events,seed,decay_pos_x,LLP_number_per_ev,Cross_section_fb,decay_pos_y,decay_pos_t,mass_input,tau,tanb,decay_pos_z,tau_input,detected_SHiP,cross_section,detector_acceptance_SHiP,significance_lowest
3638,23544,1.77828,999999,24654,385998,501.909,80169,894416.0,-196.26,538.916,1.77828,28916.5,630957.0,52060.0,5179160.0,1,3.2579125791257915,0.000184168845998,(7.565731083749798+0j)
654,23544,1.58489,999999,24654,385998,28.4957,80169,894416.0,-20.9135,35.3465,1.58489,22009.8,501187.0,45060.0,3942130.0,1,3.2579125791257915,0.0002210026151976,(6.947127618429563+0j)
4506,72764,1.41254,999999,76086,385998,-1601.55,247917,890366.0,-559.597,1696.5,1.41254,38368.9,316228.0,94045.8,1841560.0,1,3.2579125791257915,0.0004113104227288,(15.678389582835873+0j)
3192,37960,1.25893,999999,39752,385998,2295.47,129419,891982.0,2418.65,3334.53,1.25893,31929.3,158489.0,94851.9,536241.0,1,3.2579125791257915,0.0009883728068559,(75.17369267403515+0j)
4254,1983,1.12202,999999,2066,385998,-2041.14,6815,895470.0,3891.64,4394.44,1.12202,27984.5,158489.0,85890.4,610094.0,1,3.2579125791257915,0.0006691468071261,(27.024473399367714+0j)
2438,28742,1.0,999999,29974,292074,566.959,97803,890729.0,315.271,648.721,1.0,27778.2,199526.0,65749.8,1080950.0,1,3.256865137302746,0.0005097027757307,(7.384275167791642+0j)
3420,28742,0.891251,999999,29974,292074,807.616,97803,890729.0,352.327,881.123,0.891251,31718.9,199526.0,84982.7,1234300.0,1,3.256865137302746,0.0003868828297715,(3.52083800238529+0j)
348,28742,0.794328,999999,29974,292074,698.175,97803,890729.0,249.266,741.337,0.794328,22631.5,158489.0,68507.0,880673.0,1,3.256865137302746,0.0004237288135593,(4.244855701114536+0j)
2718,28742,0.707946,999999,29974,292074,592.898,97803,890729.0,179.049,619.343,0.707946,16178.7,125893.0,55251.3,629574.0,1,3.256865137302746,0.0005035617784328,(6.109132800889032+0j)
4220,28742,0.630957,999999,29974,292074,788.757,97803,890729.0,206.981,815.462,0.630957,18372.6,125893.0,70704.5,714945.0,1,3.256865137302746,0.0004421518054532,(4.446896859260952+0j)
3386,28742,0.562341,999999,29974,292074,643.268,97803,890729.0,150.083,660.544,0.562341,12921.3,100000.0,55984.5,502814.0,1,3.256865137302746,0.0004851387865389,(6.831653941082575+0j)
658,28742,0.501187,999999,29974,292074,870.423,97803,890729.0,184.077,889.674,0.501187,15191.0,100000.0,74050.2,591139.0,1,3.256865137302746,0.0003009088676,(3.919937443724068+0j)
1422,44520,0.446684,999999,46428,292074,1061.0,151545,890123.0,227.39,1085.09,0.446684,8876.26,100000.0,61194.1,683041.0,1,3.256865137302746,0.0003377548513878,(4.1979684223868885+0j)
1418,28742,0.398107,999999,29974,292074,965.225,97803,890729.0,175.878,981.118,0.398107,12918.4,79432.8,79582.8,502703.0,1,3.256865137302746,0.000472856791943,(9.085135186625903+0j)
1994,44520,0.354813,999999,46428,292074,1080.49,151545,890123.0,290.163,1118.77,0.354813,7733.14,79432.8,67232.8,595076.0,1,3.256865137302746,0.0001965119135347,(3.7259566392625576+0j)
1098,44520,0.316228,999999,46428,292074,1428.97,151545,890123.0,413.943,1487.72,0.316228,9369.04,79432.8,91449.4,720961.0,1,3.256865137302746,0.0002947678703021,(5.563363628325866+0j)
1770,44520,0.281838,999999,46428,292074,1247.98,151545,890123.0,383.496,1305.58,0.281838,7457.33,63095.7,81710.5,573852.0,1,3.256865137302746,0.0002026529108327,(6.062555077164766+0j)
3070,44520,0.251189,999999,46428,292074,1191.53,151545,890123.0,383.51,1251.72,0.251189,6461.69,50118.7,79470.2,497236.0,1,3.256865137302746,0.0001903709162367,(9.050739919572216+0j)
2114,9194,0.223872,999999,9579,292074,757.313,31257,878956.0,721.636,1046.08,0.223872,4397.43,63095.7,48949.4,1447830.0,1,3.256865137302746,0.0001228199459592,(3.6528261180449064+0j)
6882,86882,0.199526,999999,91124,29581,566.096,292261,889274.0,-3024.56,3077.08,0.199526,8838.51,794.328,76332.0,2756700.0,True,3.20879208792088,6.232937334048044e-06,(1171.2916695509482+0j)
11480,86882,0.177828,999999,91124,29581,614.59,292261,889274.0,-3152.44,3211.79,0.177828,8236.23,630.957,79862.0,2568850.0,True,3.20879208792088,6.232937334048044e-06,(1865.146515041917+0j)
